0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10
14.476,13.997,13.323,13.021,12.313,11.981,11.54,10.431,9.43,9.1283,10.259,8.146,8.1307,7.2685,6.4963,4.5257,3.4733,6.7862,3.8309,4.48
10.361,9.814,9.2913,8.815,8.5487,8.5375,8.1003,7.2113,6.3107,5.8633,6.9334,4.9303,5.3279,4.0598,4.0179,1.8167,1.2833,4.1403,1.6176,1.7217
