2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
14.065,13.725,14.128,14.306,14.155,14.194,14.081,13.665,13.927,14.095,14.004,14.065,14.173,14.056,13.929
9.835,9.995,9.8183,10.243,10.36,10.186,10.095,9.7108,10.04,10.011,10.101,10.012,10.066,10.052,10.038
