SC   OPT NON-OPT
0.00 10.040  6.772
0.05 10.573  7.437
0.10  9.931  6.463
0.15 11.264  7.713
0.20 10.849  7.521
0.25 10.830  7.442
0.30  9.921  6.758
0.35  9.815  6.955
0.40 10.352  6.787
0.45 10.675  7.466
0.50 10.203  6.999
0.55 10.851  7.025
0.60 10.395  7.221
0.65  9.973  6.614
0.70 10.242  6.899
0.75 10.964  7.692
0.80 11.345  7.609
0.85  9.979  6.723
0.90 10.596  6.968
0.95 10.353  7.164
1.00 10.574  7.295
