SC   OPT NON-OPT
2.00 14.065  9.835
4.00 13.725  9.995
6.00 14.128  9.818
8.00 14.306 10.243
10.00 14.155 10.360
12.00 14.194 10.186
14.00 14.081 10.095
16.00 13.665  9.711
18.00 13.927 10.040
20.00 14.095 10.011
22.00 14.004 10.101
24.00 14.065 10.012
26.00 14.173 10.066
28.00 14.056 10.052
30.00 13.929 10.038
